order_id,order_date,order_status,customer_name,city,state,product_name,brand_name,category_name,quantity,list_price,discount,revenue,store_name,staff_name,shipped_date
1,2016-01-01,4,Johnathan Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,1,599.99,0.2,479.99,Santa Cruz Bikes,Mireya Copeland,2016-01-03
1,2016-01-01,4,Johnathan Velazquez,Pleasanton,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2,1799.99,0.07,3347.98,Santa Cruz Bikes,Mireya Copeland,2016-01-03
1,2016-01-01,4,Johnathan Velazquez,Pleasanton,CA,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2,1549.0,0.05,2943.1,Santa Cruz Bikes,Mireya Copeland,2016-01-03
1,2016-01-01,4,Johnathan Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2,599.99,0.05,1139.98,Santa Cruz Bikes,Mireya Copeland,2016-01-03
1,2016-01-01,4,Johnathan Velazquez,Pleasanton,CA,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,1,2899.99,0.2,2319.99,Santa Cruz Bikes,Mireya Copeland,2016-01-03
2,2016-01-01,4,Jaqueline Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,1,599.99,0.07,557.99,Baldwin Bikes,Marcelene Boyer,2016-01-03
2,2016-01-01,4,Jaqueline Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2,599.99,0.05,1139.98,Baldwin Bikes,Marcelene Boyer,2016-01-03
3,2016-01-02,4,Joshua Robertson,Patchogue,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,1,999.99,0.05,949.99,Baldwin Bikes,Venita Daniel,2016-01-03
3,2016-01-02,4,Joshua Robertson,Patchogue,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,1,599.99,0.05,569.99,Baldwin Bikes,Venita Daniel,2016-01-03
4,2016-01-03,4,Nova Hess,Duarte,CA,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,2,749.99,0.1,1349.98,Santa Cruz Bikes,Genna Serrano,2016-01-05
